2026-05-11 16:23:43,421 | broad_market_rss_fetcher | INFO | ============================================================
2026-05-11 16:23:43,432 | broad_market_rss_fetcher | INFO | Starting broad market RSS sweep
2026-05-11 16:23:43,432 | broad_market_rss_fetcher | INFO |   Total queries:   215
2026-05-11 16:23:43,433 | broad_market_rss_fetcher | INFO |   Sweepers:        20
2026-05-11 16:23:43,434 | broad_market_rss_fetcher | INFO |   Sector x Event:  180
2026-05-11 16:23:43,434 | broad_market_rss_fetcher | INFO |   High signal:     15
2026-05-11 16:23:43,435 | broad_market_rss_fetcher | INFO |   Max per query:   100
2026-05-11 16:23:43,435 | broad_market_rss_fetcher | INFO |   Max age:         48h
2026-05-11 16:23:43,436 | broad_market_rss_fetcher | INFO |   Concurrency:     8
2026-05-11 16:23:43,437 | broad_market_rss_fetcher | INFO | ============================================================
2026-05-11 16:23:43,988 | broad_market_rss_fetcher | DEBUG | Query 'NSE BSE share price today' → 29 articles
2026-05-11 16:23:44,188 | broad_market_rss_fetcher | DEBUG | Query 'India corporate results profit loss' → 30 articles
2026-05-11 16:23:44,381 | broad_market_rss_fetcher | DEBUG | Query 'NSE BSE India stock market today' → 100 articles
2026-05-11 16:23:44,451 | broad_market_rss_fetcher | DEBUG | Query 'India FII DII investment today' → 96 articles
2026-05-11 16:23:44,561 | broad_market_rss_fetcher | DEBUG | Query 'India IPO listing NSE BSE today' → 100 articles
2026-05-11 16:23:44,638 | broad_market_rss_fetcher | DEBUG | Query 'India bulk deal block deal today' → 100 articles
2026-05-11 16:23:44,708 | broad_market_rss_fetcher | DEBUG | Query 'India stock market news today' → 100 articles
2026-05-11 16:23:44,792 | broad_market_rss_fetcher | DEBUG | Query 'SEBI action order India today' → 76 articles
2026-05-11 16:23:44,949 | broad_market_rss_fetcher | DEBUG | Query 'India 52 week high low NSE' → 49 articles
2026-05-11 16:23:45,027 | broad_market_rss_fetcher | DEBUG | Query 'India market rally crash today' → 50 articles
2026-05-11 16:23:45,059 | broad_market_rss_fetcher | DEBUG | Query 'India quarterly results earnings today' → 0 articles
2026-05-11 16:23:45,210 | broad_market_rss_fetcher | DEBUG | Query 'RBI policy decision India today' → 100 articles
2026-05-11 16:23:45,388 | broad_market_rss_fetcher | DEBUG | Query 'India upper circuit lower circuit stock' → 100 articles
